l,w,gds,id,fug,vgt,gm,gmoverid,vgs,vds,cgg,vth,vbs,cgs
9.000000000000001e-08,4.800000000000001e-07,0.0002024,2.664e-05,25300000000.0,0.2595,0.0001069,4.011,0.8,0.1,6.722e-16,0.5405,0.0,-5.098e-16
9.000000000000001e-08,1e-06,0.0003886,5.151e-05,24600000000.0,0.2506,0.0002152,4.177,0.8,0.1,1.392e-15,0.5494,0.0,-1.066e-15
9.000000000000001e-08,1.2000000000000002e-07,8.311e-05,1.007e-05,22030000000.0,0.3916,2.447e-05,2.429,0.9,0.1,1.768e-16,0.5084,0.0,-1.181e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0001598,1.953e-05,22150000000.0,0.3736,4.889e-05,2.503,0.9,0.1,3.513e-16,0.5264,0.0,-2.435e-16
9.000000000000001e-08,4.800000000000001e-07,0.0002996,3.682e-05,21820000000.0,0.3595,9.585e-05,2.603,0.9,0.1,6.99e-16,0.5405,0.0,-4.938e-16
9.000000000000001e-08,1e-06,0.0005844,7.202e-05,21160000000.0,0.3506,0.0001929,2.678,0.9,0.1,1.451e-15,0.5494,0.0,-1.034e-15
9.000000000000001e-08,1.2000000000000002e-07,0.0001055,1.237e-05,18980000000.0,0.4916,2.145e-05,1.734,1.0,0.1,1.799e-16,0.5084,0.0,-1.144e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0002044,2.409e-05,18750000000.0,0.4736,4.219e-05,1.751,1.0,0.1,3.582e-16,0.5264,0.0,-2.36e-16
9.000000000000001e-08,4.800000000000001e-07,0.000387,4.573e-05,18340000000.0,0.4595,8.228e-05,1.799,1.0,0.1,7.14e-16,0.5405,0.0,-4.785e-16
9.000000000000001e-08,1e-06,0.0007602,8.99e-05,17640000000.0,0.4506,0.0001645,1.83,1.0,0.1,1.484e-15,0.5494,0.0,-1.002e-15
9.000000000000001e-08,1.2000000000000002e-07,0.0001252,1.436e-05,16080000000.0,0.5916,1.835e-05,1.278,1.1,0.1,1.816e-16,0.5084,0.0,-1.115e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0002433,2.797e-05,15610000000.0,0.5736,3.552e-05,1.27,1.1,0.1,3.621e-16,0.5264,0.0,-2.301e-16
9.000000000000001e-08,4.800000000000001e-07,0.0004628,5.328e-05,15170000000.0,0.5594,6.885e-05,1.292,1.1,0.1,7.226e-16,0.5406,0.0,-4.664e-16
9.000000000000001e-08,1e-06,0.0009113,0.0001049,14430000000.0,0.5506,0.0001362,1.298,1.1,0.1,1.503e-15,0.5494,0.0,-9.765e-16
9.000000000000001e-08,1.2000000000000002e-07,0.0001423,1.605e-05,13410000000.0,0.6916,1.539e-05,0.9588,1.2,0.1,1.827e-16,0.5084,0.0,-1.093e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0002763,3.121e-05,12800000000.0,0.6736,2.931e-05,0.9391,1.2,0.1,3.645e-16,0.5264,0.0,-2.255e-16
9.000000000000001e-08,4.800000000000001e-07,0.0005269,5.954e-05,12350000000.0,0.6594,5.647e-05,0.9485,1.2,0.1,7.276e-16,0.5406,0.0,-4.57e-16
9.000000000000001e-08,1e-06,0.001038,0.0001172,11590000000.0,0.6506,0.0001102,0.9404,1.2,0.1,1.514e-15,0.5494,0.0,-9.567e-16
9.000000000000001e-08,1.2000000000000002e-07,5.463e-11,2.54e-11,2357000.0,-0.4037,8.205e-10,32.3,0.1,0.2,5.541e-17,0.5037,0.0,-1.802e-17
9.000000000000001e-08,2.4000000000000003e-07,6.725e-11,3.025e-11,1403000.0,-0.4217,9.796e-10,32.39,0.1,0.2,1.111e-16,0.5217,0.0,-3.589e-17
9.000000000000001e-08,4.800000000000001e-07,8.959e-11,3.983e-11,922300.0,-0.4358,1.292e-09,32.44,0.1,0.2,2.229e-16,0.5358,0.0,-7.167e-17
9.000000000000001e-08,1e-06,1.364e-10,6.024e-11,668100.0,-0.4447,1.953e-09,32.43,0.1,0.2,4.653e-16,0.5447,0.0,-1.493e-16
9.000000000000001e-08,1.2000000000000002e-07,1.289e-09,6.116e-10,53260000.0,-0.3037,1.897e-08,31.02,0.2,0.2,5.669e-17,0.5037,0.0,-2.077e-17
9.000000000000001e-08,2.4000000000000003e-07,1.623e-09,7.407e-10,33020000.0,-0.3217,2.322e-08,31.35,0.2,0.2,1.119e-16,0.5217,0.0,-3.953e-17
9.000000000000001e-08,4.800000000000001e-07,2.188e-09,9.844e-10,22220000.0,-0.3358,3.104e-08,31.54,0.2,0.2,2.224e-16,0.5358,0.0,-7.666e-17
9.000000000000001e-08,1e-06,3.344e-09,1.492e-09,16260000.0,-0.3447,4.719e-08,31.62,0.2,0.2,4.621e-16,0.5447,0.0,-1.573e-16
9.000000000000001e-08,1.2000000000000002e-07,2.205e-08,1.135e-08,711200000.0,-0.2037,3.033e-07,26.72,0.3,0.2,6.788e-17,0.5037,0.0,-3.489e-17
9.000000000000001e-08,2.4000000000000003e-07,3.021e-08,1.471e-08,503500000.0,-0.2217,4.086e-07,27.78,0.3,0.2,1.292e-16,0.5217,0.0,-6.231e-17
9.000000000000001e-08,4.800000000000001e-07,4.271e-08,2.031e-08,367600000.0,-0.2358,5.767e-07,28.4,0.3,0.2,2.497e-16,0.5358,0.0,-1.141e-16
9.000000000000001e-08,1e-06,6.724e-08,3.15e-08,282900000.0,-0.2447,9.075e-07,28.81,0.3,0.2,5.105e-16,0.5447,0.0,-2.255e-16
9.000000000000001e-08,1.2000000000000002e-07,1.983e-07,1.182e-07,4067000000.0,-0.1037,2.407e-06,20.35,0.4,0.2,9.42e-17,0.5037,0.0,-6.635e-17
9.000000000000001e-08,2.4000000000000003e-07,3.06e-07,1.717e-07,3296000000.0,-0.1217,3.662e-06,21.32,0.4,0.2,1.768e-16,0.5217,0.0,-1.208e-16
9.000000000000001e-08,4.800000000000001e-07,4.686e-07,2.552e-07,2659000000.0,-0.1358,5.617e-06,22.01,0.4,0.2,3.362e-16,0.5358,0.0,-2.217e-16
9.000000000000001e-08,1e-06,7.845e-07,4.185e-07,2217000000.0,-0.1447,9.454e-06,22.59,0.4,0.2,6.787e-16,0.5447,0.0,-4.36e-16
9.000000000000001e-08,1.2000000000000002e-07,1.072e-06,7.229e-07,14890000000.0,-0.003743,1.157e-05,16.0,0.5,0.2,1.237e-16,0.5037,0.0,-1.009e-16
9.000000000000001e-08,2.4000000000000003e-07,1.77e-06,1.131e-06,12670000000.0,-0.02169,1.887e-05,16.69,0.5,0.2,2.371e-16,0.5217,0.0,-1.932e-16
9.000000000000001e-08,4.800000000000001e-07,2.844e-06,1.772e-06,10580000000.0,-0.03581,3.041e-05,17.16,0.5,0.2,4.572e-16,0.5358,0.0,-3.689e-16
9.000000000000001e-08,1e-06,4.948e-06,3.038e-06,9114000000.0,-0.04469,5.324e-05,17.52,0.5,0.2,9.296e-16,0.5447,0.0,-7.421e-16
9.000000000000001e-08,1.2000000000000002e-07,3.9e-06,2.824e-06,35000000000.0,0.09626,3.153e-05,11.17,0.6,0.2,1.434e-16,0.5037,0.0,-1.234e-16
9.000000000000001e-08,2.4000000000000003e-07,6.765e-06,4.771e-06,32370000000.0,0.07831,5.706e-05,11.96,0.6,0.2,2.806e-16,0.5217,0.0,-2.444e-16
9.000000000000001e-08,4.800000000000001e-07,1.139e-05,7.925e-06,28910000000.0,0.06419,0.0001,12.62,0.6,0.2,5.506e-16,0.5358,0.0,-4.802e-16
9.000000000000001e-08,1e-06,2.046e-05,1.415e-05,26020000000.0,0.05531,0.0001851,13.08,0.6,0.2,1.132e-15,0.5447,0.0,-9.841e-16
9.000000000000001e-08,1.2000000000000002e-07,1.206e-05,6.888e-06,49180000000.0,0.1962,4.761e-05,6.912,0.7,0.2,1.541e-16,0.5038,0.0,-1.341e-16
9.000000000000001e-08,2.4000000000000003e-07,2.043e-05,1.247e-05,48730000000.0,0.1783,9.324e-05,7.477,0.7,0.2,3.045e-16,0.5217,0.0,-2.701e-16
