Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
5,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-20.52e-18,,,
5,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.34,,,
5,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",3.985e-3,,,
"Parameters: length=90n, Vd=100m, Vg=200m, width=240n",,,,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",1.783e-9,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",573.9e-12,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",25.66e6,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-326.4e-3,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",18.04e-9,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",31.43,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",200e-3,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",111.9e-18,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",526.4e-3,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
6,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-39.15e-18,,,
6,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.11,,,
6,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",2.391e-3,,,
"Parameters: length=90n, Vd=100m, Vg=200m, width=480n",,,,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",2.388e-9,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",760.1e-12,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",17.19e6,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-340.5e-3,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",24.02e-9,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",31.6,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",200e-3,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",222.4e-18,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",540.5e-3,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
7,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-76.08e-18,,,
7,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.06,,,
7,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",1.584e-3,,,
"Parameters: length=90n, Vd=100m, Vg=200m, width=1u",,,,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",3.63e-9,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",1.151e-9,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",12.55e6,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-349.4e-3,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",36.44e-9,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",31.67,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",200e-3,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",462.2e-18,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",549.4e-3,,,
